Net Asset Value,Repurchase Price,Sale Price,NAV date
14.9461,14.8714,14.9461,07-Jan-15
14.9583,14.8835,14.9583,08-Jan-15
14.9615,14.8867,14.9615,09-Jan-15
14.982,14.9071,14.982,12-Jan-15
14.99,14.9151,14.99,13-Jan-15
14.9913,14.9163,14.9913,14-Jan-15
15.0124,14.9373,15.0124,15-Jan-15
15.0249,14.9498,15.0249,16-Jan-15
15.0338,14.9962,15.0338,19-Jan-15
15.0375,14.9999,15.0375,20-Jan-15
15.0409,15.0033,15.0409,21-Jan-15
15.0442,15.0066,15.0442,22-Jan-15
15.0523,15.0147,15.0523,23-Jan-15
15.068,15.0303,15.068,27-Jan-15
15.0752,15.0375,15.0752,28-Jan-15
15.0797,15.042,15.0797,29-Jan-15
15.0833,15.0456,15.0833,30-Jan-15
15.0978,15.0601,15.0978,02-Feb-15
15.0815,15.0438,15.0815,03-Feb-15
15.0766,15.0389,15.0766,04-Feb-15
15.0742,15.0365,15.0742,05-Feb-15
15.0726,15.0349,15.0726,06-Feb-15
15.0762,15.0385,15.0762,09-Feb-15
15.0766,15.0389,15.0766,10-Feb-15
15.0759,15.0382,15.0759,11-Feb-15
15.0754,15.0377,15.0754,12-Feb-15
15.0829,15.0452,15.0829,13-Feb-15
15.0982,15.0605,15.0982,16-Feb-15
15.1074,15.0696,15.1074,18-Feb-15
15.1176,15.0798,15.1176,20-Feb-15
15.1314,15.0936,15.1314,23-Feb-15
15.1467,15.1088,15.1467,24-Feb-15
15.1548,15.1169,15.1548,25-Feb-15
15.1594,15.1215,15.1594,26-Feb-15
15.164,15.1261,15.164,27-Feb-15
15.1722,15.1343,15.1722,02-Mar-15
15.1649,15.127,15.1649,03-Mar-15
15.1838,15.1458,15.1838,04-Mar-15
15.195,15.157,15.195,05-Mar-15
15.1936,15.1556,15.1936,09-Mar-15
15.1951,15.1571,15.1951,10-Mar-15
15.1991,15.1611,15.1991,11-Mar-15
15.2005,15.1625,15.2005,12-Mar-15
15.2011,15.1631,15.2011,13-Mar-15
15.2111,15.1731,15.2111,16-Mar-15
15.216,15.178,15.216,17-Mar-15
15.216,15.178,15.216,18-Mar-15
15.2205,15.1824,15.2205,19-Mar-15
15.2223,15.1842,15.2223,20-Mar-15
15.2323,15.1942,15.2323,23-Mar-15
15.2351,15.197,15.2351,24-Mar-15
15.2361,15.198,15.2361,25-Mar-15
15.2423,15.2042,15.2423,26-Mar-15
15.2505,15.2124,15.2505,27-Mar-15
15.2622,15.224,15.2622,30-Mar-15
15.281,15.2428,15.281,31-Mar-15
15.3156,15.2773,15.3156,06-Apr-15
15.3376,15.2993,15.3376,07-Apr-15
15.3336,15.2953,15.3336,08-Apr-15
15.3406,15.3022,15.3406,09-Apr-15
15.3465,15.3081,15.3465,10-Apr-15
15.3596,15.3212,15.3596,13-Apr-15
15.3651,15.3267,15.3651,15-Apr-15
15.3677,15.3293,15.3677,16-Apr-15
15.3625,15.3241,15.3625,17-Apr-15
15.3711,15.3327,15.3711,20-Apr-15
15.3757,15.3373,15.3757,21-Apr-15
15.3798,15.3414,15.3798,22-Apr-15
15.3786,15.3402,15.3786,23-Apr-15
15.3808,15.3423,15.3808,24-Apr-15
15.3875,15.349,15.3875,27-Apr-15
15.3896,15.3511,15.3896,28-Apr-15
15.3888,15.3503,15.3888,29-Apr-15
15.3817,15.3432,15.3817,30-Apr-15
15.3925,15.354,15.3925,05-May-15
15.3896,15.3511,15.3896,06-May-15
15.3854,15.3469,15.3854,07-May-15
15.3847,15.3462,15.3847,08-May-15
15.3976,15.3591,15.3976,11-May-15
15.4039,15.3654,15.4039,12-May-15
15.405,15.3665,15.405,13-May-15
15.4094,15.3709,15.4094,14-May-15
15.4122,15.3737,15.4122,15-May-15
15.4266,15.388,15.4266,18-May-15
15.4304,15.3918,15.4304,19-May-15
15.4364,15.3978,15.4364,20-May-15
15.4475,15.4089,15.4475,21-May-15
15.452,15.4134,15.452,22-May-15
15.4637,15.425,15.4637,25-May-15
15.4671,15.4284,15.4671,26-May-15
15.4708,15.4321,15.4708,27-May-15
15.4811,15.4424,15.4811,28-May-15
15.4901,15.4514,15.4901,29-May-15
15.5106,15.4718,15.5106,01-Jun-15
15.4993,15.4606,15.4993,02-Jun-15
15.5001,15.4613,15.5001,03-Jun-15
15.4999,15.4612,15.4999,04-Jun-15
15.5048,15.466,15.5048,05-Jun-15
15.5186,15.4798,15.5186,08-Jun-15
15.5247,15.4859,15.5247,09-Jun-15
15.523,15.4842,15.523,10-Jun-15
15.52,15.4812,15.52,11-Jun-15
15.5236,15.4848,15.5236,12-Jun-15
15.5336,15.4948,15.5336,15-Jun-15
15.5335,15.4947,15.5335,16-Jun-15
15.5408,15.5019,15.5408,17-Jun-15
15.554,15.5151,15.554,18-Jun-15
15.5599,15.521,15.5599,19-Jun-15
15.5722,15.5333,15.5722,22-Jun-15
15.5716,15.5327,15.5716,23-Jun-15
15.5736,15.5347,15.5736,24-Jun-15
15.5735,15.5346,15.5735,25-Jun-15
15.5742,15.5353,15.5742,26-Jun-15
15.5774,15.5385,15.5774,29-Jun-15
15.5854,15.5464,15.5854,30-Jun-15
15.5934,15.5544,15.5934,01-Jul-15
15.6009,15.5619,15.6009,02-Jul-15
15.6083,15.5693,15.6083,03-Jul-15
15.624,15.5849,15.624,06-Jul-15
15.6303,15.5912,15.6303,07-Jul-15
15.6365,15.5974,15.6365,08-Jul-15
15.6377,15.5986,15.6377,09-Jul-15
15.6444,15.6053,15.6444,10-Jul-15
15.6477,15.6086,15.6477,13-Jul-15
15.6558,15.6167,15.6558,14-Jul-15
15.6606,15.6214,15.6606,15-Jul-15
15.6632,15.624,15.6632,16-Jul-15
15.6676,15.6284,15.6676,17-Jul-15
15.6763,15.6371,15.6763,20-Jul-15
