Net Asset Value,Repurchase Price,Sale Price,NAV date
43.34,42.907,43.34,19-Dec-14
43.673,43.236,43.673,22-Dec-14
43.437,43.003,43.437,23-Dec-14
43.13,42.699,43.13,24-Dec-14
43.232,42.8,43.232,26-Dec-14
43.371,42.937,43.371,29-Dec-14
43.555,43.119,43.555,30-Dec-14
43.936,43.497,43.936,31-Dec-14
44.044,43.604,44.044,01-Jan-15
44.411,43.967,44.411,02-Jan-15
44.481,44.036,44.481,05-Jan-15
43.164,42.732,43.164,06-Jan-15
43.214,42.782,43.214,07-Jan-15
43.953,43.513,43.953,08-Jan-15
44.099,43.658,44.099,09-Jan-15
44.268,43.825,44.268,12-Jan-15
44.316,43.873,44.316,13-Jan-15
44.116,43.675,44.116,14-Jan-15
45.002,44.552,45.002,15-Jan-15
44.806,44.358,44.806,16-Jan-15
44.946,44.497,44.946,19-Jan-15
45.366,44.912,45.366,20-Jan-15
45.795,45.337,45.795,21-Jan-15
45.945,45.486,45.945,22-Jan-15
46.206,45.744,46.206,23-Jan-15
46.659,46.192,46.659,27-Jan-15
46.748,46.281,46.748,28-Jan-15
46.544,46.079,46.544,29-Jan-15
45.776,45.318,45.776,30-Jan-15
45.774,45.316,45.774,02-Feb-15
45.331,44.878,45.331,03-Feb-15
45.079,44.628,45.079,04-Feb-15
44.631,44.185,44.631,05-Feb-15
44.153,43.711,44.153,06-Feb-15
43.246,42.814,43.246,09-Feb-15
43.67,43.233,43.67,10-Feb-15
44.342,43.899,44.342,11-Feb-15
44.724,44.277,44.724,12-Feb-15
45.239,44.787,45.239,13-Feb-15
45.246,44.794,45.246,16-Feb-15
45.639,45.183,45.639,18-Feb-15
45.739,45.282,45.739,19-Feb-15
45.566,45.11,45.566,20-Feb-15
45.064,44.613,45.064,23-Feb-15
44.838,44.39,44.838,24-Feb-15
44.9,44.451,44.9,25-Feb-15
44.292,43.849,44.292,26-Feb-15
45.29,44.837,45.29,27-Feb-15
46.297,45.834,46.297,02-Mar-15
46.489,46.024,46.489,03-Mar-15
45.849,45.391,45.849,04-Mar-15
45.752,45.294,45.752,05-Mar-15
44.798,44.35,44.798,09-Mar-15
44.64,44.194,44.64,10-Mar-15
44.481,44.036,44.481,11-Mar-15
44.999,44.549,44.999,12-Mar-15
44.374,43.93,44.374,13-Mar-15
44.222,43.78,44.222,16-Mar-15
44.618,44.172,44.618,17-Mar-15
44.615,44.169,44.615,18-Mar-15
44.251,43.808,44.251,19-Mar-15
43.731,43.294,43.731,20-Mar-15
43.499,43.064,43.499,23-Mar-15
43.387,42.953,43.387,24-Mar-15
43.175,42.743,43.175,25-Mar-15
42.504,42.079,42.504,26-Mar-15
42.608,42.182,42.608,27-Mar-15
43.477,43.042,43.477,30-Mar-15
43.533,43.098,43.533,31-Mar-15
44.116,43.675,44.116,01-Apr-15
44.371,43.927,44.371,06-Apr-15
44.382,43.938,44.382,07-Apr-15
44.764,44.316,44.764,08-Apr-15
45.145,44.694,45.145,09-Apr-15
45.419,44.965,45.419,10-Apr-15
45.664,45.207,45.664,13-Apr-15
45.342,44.889,45.342,15-Apr-15
45.159,44.707,45.159,16-Apr-15
44.607,44.161,44.607,17-Apr-15
44.033,43.593,44.033,20-Apr-15
43.862,43.423,43.862,21-Apr-15
43.907,43.468,43.907,22-Apr-15
43.747,43.31,43.747,23-Apr-15
43.051,42.62,43.051,24-Apr-15
42.263,41.84,42.263,27-Apr-15
43.046,42.616,43.046,28-Apr-15
43.081,42.65,43.081,29-Apr-15
43.032,42.602,43.032,30-Apr-15
43.87,43.431,43.87,04-May-15
43.748,43.311,43.748,05-May-15
42.351,41.927,42.351,06-May-15
41.691,41.274,41.691,07-May-15
42.236,41.814,42.236,08-May-15
43.202,42.77,43.202,11-May-15
42.097,41.676,42.097,12-May-15
42.642,42.216,42.642,13-May-15
43.072,42.641,43.072,14-May-15
43.246,42.814,43.246,15-May-15
43.743,43.306,43.743,18-May-15
43.852,43.413,43.852,19-May-15
43.881,43.442,43.881,20-May-15
43.708,43.271,43.708,21-May-15
43.6,43.164,43.6,22-May-15
43.418,42.984,43.418,25-May-15
43.341,42.908,43.341,26-May-15
43.402,42.968,43.402,27-May-15
43.511,43.076,43.511,28-May-15
44.186,43.744,44.186,29-May-15
44.277,43.834,44.277,01-Jun-15
43.332,42.899,43.332,02-Jun-15
42.678,42.251,42.678,03-Jun-15
42.657,42.23,42.657,04-Jun-15
42.63,42.204,42.63,05-Jun-15
42.12,41.699,42.12,08-Jun-15
42.4,41.976,42.4,09-Jun-15
42.693,42.266,42.693,10-Jun-15
41.829,41.411,41.829,11-Jun-15
41.992,41.572,41.992,12-Jun-15
42.036,41.616,42.036,15-Jun-15
42.113,41.692,42.113,16-Jun-15
42.309,41.886,42.309,17-Jun-15
42.632,42.206,42.632,18-Jun-15
42.91,42.481,42.91,19-Jun-15
43.563,43.127,43.563,22-Jun-15
43.905,43.466,43.905,23-Jun-15
43.482,43.047,43.482,24-Jun-15
43.638,43.202,43.638,25-Jun-15
43.626,43.19,43.626,26-Jun-15
43.081,42.65,43.081,29-Jun-15
43.376,42.942,43.376,30-Jun-15
43.922,43.483,43.922,01-Jul-15
43.981,43.541,43.981,02-Jul-15
44.129,43.688,44.129,03-Jul-15
44.497,44.052,44.497,06-Jul-15
44.607,44.161,44.607,07-Jul-15
43.932,43.493,43.932,08-Jul-15
43.827,43.389,43.827,09-Jul-15
44.262,43.819,44.262,10-Jul-15
44.862,44.413,44.862,13-Jul-15
44.846,44.398,44.846,14-Jul-15
45.152,44.7,45.152,15-Jul-15
45.621,45.165,45.621,16-Jul-15
45.83,45.372,45.83,17-Jul-15
45.807,45.349,45.807,20-Jul-15
45.436,44.982,45.436,21-Jul-15
45.986,45.526,45.986,22-Jul-15
45.97,45.51,45.97,23-Jul-15
45.409,44.955,45.409,24-Jul-15
44.458,44.013,44.458,27-Jul-15
44.493,44.048,44.493,28-Jul-15
44.925,44.476,44.925,29-Jul-15
45.547,45.092,45.547,30-Jul-15
45.995,45.535,45.995,31-Jul-15
46.294,45.831,46.294,03-Aug-15
46.677,46.21,46.677,04-Aug-15
46.908,46.439,46.908,05-Aug-15
46.895,46.426,46.895,06-Aug-15
46.863,46.394,46.863,07-Aug-15
46.701,46.234,46.701,10-Aug-15
46.065,45.604,46.065,11-Aug-15
45.049,44.599,45.049,12-Aug-15
44.795,44.347,44.795,13-Aug-15
45.827,45.369,45.827,14-Aug-15
46.308,45.845,46.308,17-Aug-15
46.51,46.045,46.51,18-Aug-15
46.411,45.947,46.411,19-Aug-15
45.157,44.705,45.157,20-Aug-15
44.721,44.274,44.721,21-Aug-15
40.935,40.526,40.935,24-Aug-15
41.671,41.254,41.671,25-Aug-15
41.575,41.159,41.575,26-Aug-15
42.709,42.282,42.709,27-Aug-15
42.734,42.307,42.734,28-Aug-15
42.419,41.995,42.419,31-Aug-15
41.036,40.626,41.036,01-Sep-15
40.686,40.279,40.686,02-Sep-15
41.269,40.856,41.269,03-Sep-15
40.431,40.027,40.431,04-Sep-15
39.733,39.336,39.733,07-Sep-15
40.634,40.228,40.634,08-Sep-15
41.47,41.055,41.47,09-Sep-15
41.439,41.025,41.439,10-Sep-15
41.522,41.107,41.522,11-Sep-15
42.177,41.755,42.177,14-Sep-15
41.873,41.454,41.873,15-Sep-15
42.092,41.671,42.092,16-Sep-15
42.62,42.194,42.62,18-Sep-15
42.946,42.517,42.946,21-Sep-15
42.103,41.682,42.103,22-Sep-15
42.214,41.792,42.214,23-Sep-15
42.287,41.864,42.287,24-Sep-15
41.832,41.414,41.832,28-Sep-15
41.898,41.479,41.898,29-Sep-15
42.208,41.786,42.208,30-Sep-15
42.108,41.687,42.108,01-Oct-15
43.131,42.7,43.131,05-Oct-15
43.126,42.695,43.126,06-Oct-15
43.252,42.819,43.252,07-Oct-15
43.105,42.674,43.105,08-Oct-15
43.2,42.768,43.2,09-Oct-15
43.108,42.677,43.108,12-Oct-15
43.113,42.682,43.113,13-Oct-15
43.036,42.606,43.036,14-Oct-15
43.587,43.151,43.587,15-Oct-15
43.905,43.466,43.905,16-Oct-15
43.909,43.47,43.909,19-Oct-15
44.03,43.59,44.03,20-Oct-15
44.017,43.577,44.017,21-Oct-15
44.119,43.678,44.119,23-Oct-15
43.938,43.499,43.938,26-Oct-15
43.875,43.436,43.875,27-Oct-15
43.478,43.043,43.478,28-Oct-15
43.016,42.586,43.016,29-Oct-15
42.721,42.294,42.721,30-Oct-15
42.731,42.304,42.731,02-Nov-15
42.8,42.372,42.8,03-Nov-15
42.735,42.308,42.735,04-Nov-15
42.154,41.732,42.154,05-Nov-15
42.302,41.879,42.302,06-Nov-15
